Date,Open,High,Low,Close,Adj Close,Volume
2015-11-12,78.33000200000001,78.33000200000001,77.190002,77.379997,71.172668,3473100
2015-11-13,77.139999,77.860001,76.709999,76.970001,70.79555500000001,2817700
2015-11-16,76.949997,77.900002,76.68,77.900002,71.65097,2654000
2015-11-17,77.800003,77.849998,76.32,76.370003,70.243706,3353500
2015-11-18,76.949997,78.309998,76.599998,78.290001,72.009689,3698500
2015-11-19,78.529999,79.980003,78.529999,79.58000200000001,73.19619,3751800
2015-11-20,80.07,80.16999799999999,78.879997,79.459999,73.085831,3013600
2015-11-23,79.550003,79.550003,78.790001,78.82,72.497162,1969900
2015-11-24,78.099998,79.019997,77.610001,78.629997,72.322395,2570300
2015-11-25,78.849998,79.160004,78.400002,79.040001,72.69950899999999,1774900
2015-11-27,78.980003,79.25,78.269997,79.0,72.66272,907800
2015-11-30,79.08000200000001,79.5,78.370003,78.510002,72.21204399999999,2999700
2015-12-01,79.040001,79.860001,78.760002,79.82,73.416954,2204900
2015-12-02,79.610001,79.959999,78.650002,78.769997,72.45118000000001,2570600
2015-12-03,79.099998,79.099998,77.050003,77.33000200000001,71.126694,3035700
2015-12-04,77.910004,79.559998,77.400002,79.370003,73.00304399999999,2665500
2015-12-07,78.730003,79.059998,77.82,78.33000200000001,72.046471,2262500
2015-12-08,77.449997,77.730003,76.540001,76.860001,70.694397,2630500
2015-12-09,76.370003,77.239998,74.879997,75.41999799999999,69.369911,3517600
2015-12-10,75.389999,76.449997,75.18,75.610001,69.54467,2428700
2015-12-11,74.290001,74.550003,73.300003,73.68,67.76949300000001,2915400
2015-12-14,73.809998,74.68,72.489998,73.309998,67.429161,3448600
2015-12-15,74.269997,75.519997,74.08000200000001,75.370003,69.323929,3039200
2015-12-16,76.190002,76.550003,74.400002,76.360001,70.23449699999999,4175800
2015-12-17,76.550003,76.739998,74.279999,74.379997,68.413322,2890000
2015-12-18,73.91999799999999,73.91999799999999,72.32,72.470001,66.65655500000001,5097500
2015-12-21,73.040001,73.5,71.949997,72.58000200000001,66.757736,2503300
2015-12-22,72.620003,73.010002,71.099998,72.769997,66.932472,3367300
2015-12-23,73.16999799999999,73.91999799999999,72.959999,73.690002,67.778687,2361100
2015-12-24,73.68,73.900002,73.260002,73.519997,67.622337,810700
2015-12-28,73.150002,73.41999799999999,72.279999,73.150002,67.281998,1569800
2015-12-29,73.599998,73.989998,73.190002,73.790001,67.870659,1506200
2015-12-30,73.620003,73.800003,73.160004,73.209999,67.337189,1414600
2015-12-31,72.709999,73.260002,72.160004,72.18,66.389816,1722100
2016-01-04,70.769997,70.910004,69.860001,70.739998,65.06532299999999,3636200
2016-01-05,69.43,70.550003,68.699997,69.459999,63.888016,5216200
2016-01-06,68.550003,69.690002,67.980003,68.550003,63.051003,4223300
2016-01-07,66.339996,67.0,64.849998,65.08000200000001,59.859370999999996,5638300
2016-01-08,65.75,65.889999,64.07,64.230003,59.077564,4731700
2016-01-11,64.82,65.540001,64.0,64.760002,59.565037,3416800
2016-01-12,65.559998,65.970001,64.68,65.800003,60.521622,3680300
2016-01-13,66.279999,66.660004,63.41,63.639998999999996,58.534881999999996,5406000
2016-01-14,64.010002,65.110001,62.509997999999996,64.599998,59.417873,4573000
2016-01-15,62.0,63.459998999999996,61.84,62.849998,57.808266,4827300
2016-01-19,63.689999,63.700001,61.509997999999996,62.189999,57.201199,3464500
2016-01-20,60.799999,61.369999,58.919998,60.759997999999996,55.885909999999996,5328000
2016-01-21,60.849998,62.299999,60.509997999999996,61.18,56.272217000000005,3747300
2016-01-22,62.150002,62.599998,60.52,61.099998,56.198634999999996,4148100
2016-01-25,60.689999,61.009997999999996,58.490002000000004,58.66,53.95436899999999,5711500
2016-01-26,59.099998,60.5,59.099998,60.380001,55.536392000000006,5619900
2016-01-27,61.299999,64.589996,61.259997999999996,63.299999,58.222156999999996,8544900
2016-01-28,63.790001000000004,63.790001000000004,62.119999,62.990002000000004,57.937034999999995,6491500
2016-01-29,63.490002000000004,65.699997,63.279999,65.620003,60.356049,6380200
2016-02-01,65.0,65.449997,63.790001000000004,65.010002,59.794987,4319500
2016-02-02,63.830002,63.860001000000004,62.82,63.209998999999996,58.139374,5195700
2016-02-03,63.66,64.010002,59.860001000000004,63.150002,58.08419,6036600
2016-02-04,63.0,64.360001,62.84,63.73,58.617661,4308500
2016-02-05,63.919998,64.629997,62.639998999999996,63.360001000000004,58.277347999999996,3507800
2016-02-08,62.330002,62.450001,60.099998,60.889998999999996,56.005478000000004,3878300
2016-02-09,60.040001000000004,62.93,59.75,62.419998,57.412758,4424000
2016-02-10,62.919998,64.120003,62.18,62.240002000000004,57.247181000000005,3186400
2016-02-11,59.709998999999996,60.880001,58.740002000000004,60.150002,55.682713,4823200
2016-02-12,61.209998999999996,62.84,60.619999,62.540001000000004,57.895203,5528000
2016-02-16,63.709998999999996,65.129997,63.080002,64.209999,59.441177,4309000
2016-02-17,64.959999,66.050003,64.870003,65.18,60.339138,3806000
2016-02-18,65.480003,66.68,65.18,65.93,61.033436,4272100
2016-02-19,65.5,65.879997,64.760002,65.730003,60.848286,2456700
2016-02-22,66.440002,67.790001,66.400002,67.760002,62.72752,3007600
2016-02-23,67.610001,67.610001,65.32,65.720001,60.839031000000006,3487000
2016-02-24,64.769997,65.639999,63.450001,65.410004,60.552048,2894800
2016-02-25,65.760002,66.41999799999999,64.870003,66.41999799999999,61.487030000000004,2642200
2016-02-26,66.730003,68.190002,66.639999,67.199997,62.209103000000006,3105800
2016-02-29,66.93,67.18,65.699997,65.730003,60.848286,3404300
2016-03-01,66.66999799999999,68.0,66.150002,67.989998,62.940430000000006,4131800
2016-03-02,68.019997,69.139999,67.739998,69.139999,64.00502,2397500
2016-03-03,68.970001,69.660004,68.690002,69.660004,64.486397,2444600
2016-03-04,69.809998,70.389999,68.959999,69.589996,64.4216,2939300
